event_date,upid,event_name,device_category,event_ts,params_key,string_value,int_value,float_value,double_value,traffic_source_name,traffic_source_medium,traffic_source_source
2025-11-11,u6,purchase,desktop,2025-11-10 15:05:02.000000 UTC,revenue,,16424,,,line,cpc,line.me
2025-11-11,u9,page_view,desktop,2025-11-10 15:06:18.000000 UTC,page_location,/surveys/9/responses/63,,,,twitter,referral,t.co
2025-11-11,u14,page_view,tablet,2025-11-10 15:09:38.000000 UTC,page_location,/surveys/14/content,,,,line,cpc,line.me
2025-11-11,u23,dummy_event_05,tablet,2025-11-10 15:15:45.000000 UTC,page_location,/home,,,,direct,(none),(direct)
2025-11-11,u24,dummy_event_03,desktop,2025-11-10 15:16:20.000000 UTC,ga_session_id,,4520841572066101833,,,google,organic,google
2025-11-11,u25,dummy_event_06,mobile,2025-11-10 15:17:00.000000 UTC,ga_session_id,,8061785759777777251,,,twitter,referral,t.co
2025-11-11,u30,page_view,desktop,2025-11-10 15:18:50.000000 UTC,page_location,/user/add,,,,line,cpc,line.me
2025-11-11,u31,page_view,mobile,2025-11-10 15:19:27.000000 UTC,page_location,/user/add,,,,direct,(none),(direct)
2025-11-11,u32,dummy_event_02,tablet,2025-11-10 15:21:15.000000 UTC,ga_session_id,,630130835581391884,,,google,organic,google
2025-11-11,u55,page_view,mobile,2025-11-10 15:34:55.000000 UTC,page_location,/surveys/55/content,,,,direct,(none),(direct)
2025-11-11,u57,page_view,desktop,2025-11-10 15:36:09.000000 UTC,page_location,/surveys/57/content,,,,twitter,referral,t.co
2025-11-11,u68,dummy_event_05,tablet,2025-11-10 15:43:30.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u71,dummy_event_06,tablet,2025-11-10 15:45:22.000000 UTC,page_location,/home,,,,direct,(none),(direct)
2025-11-11,u73,dummy_event_04,mobile,2025-11-10 15:46:34.000000 UTC,page_location,/home,,,,twitter,referral,t.co
2025-11-11,u90,page_view,desktop,2025-11-10 15:56:30.000000 UTC,ga_session_id,,2684213040511943931,,,line,cpc,line.me
