event_date,entrance_source,event_page_location,device_category,All_official_events_session,All_questionnaire_entrance_session,All_questionnaire_complete_session,All_LP_after_questionnaire_complete_session,Click_All_event_participattion,Click_All_questionnaire_complete_event_participattion,Click_All_googleform_event_participattion,login_official_events_session,login_questionnaire_entrance_session,login_questionnaire_complete_session,login_LP_after_questionnaire_complete_session,Click_login_event_participattion,Click_login_questionnaire_complete_event_participattion,Click_login_googleform_event_participattion,UnloginAll_official_events_session,UnloginAll_questionnaire_entrance_session,UnloginAll_questionnaire_complete_session,UnloginAll_LP_after_questionnaire_complete_session,Click_UnloginAll_event_participattion,Click_UnloginAll_questionnaire_complete_event_participattion,Click_UnloginAll_googleform_event_participattion,UnloginNew_official_events_session,UnloginNew_questionnaire_entrance_session,UnloginNew_questionnaire_complete_session,UnloginNew_LP_after_questionnaire_complete_session,Click_UnloginNew_event_participattion,Click_UnloginNew_questionnaire_complete_event_participattion,Click_UnloginNew_googleform_event_participattion,All_events_participate_rate,login_events_participate_rate,UnloginAll_events_participate_rate,UnloginNew_events_participate_rate,All_questionnaire_complete_rate,login_questionnaire_complete_rate,UnloginAll_questionnaire_complete_rate,UnloginNew_questionnaire_complete_rate
2025-11-11,instagram,/official-events/869,mobile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,instagram,/official-events/633,mobile,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2025-11-11,instagram,/official-events/574,mobile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,instagram,/official-events/1720,tablet,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025-11-11,instagram,/official-events/598,tablet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,instagram,/official-events/116,tablet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,X,/official-events/104,mobile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,X,/official-events/24,mobile,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,X,/official-events/475,mobile,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2025-11-11,X,/official-events/1520,tablet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,X,/official-events/451,tablet,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
